"CityA,CityB,Distance(miles)"
"Leeds,Manchester,70"
"Leeds,York,25"
"Leeds,Sheffield,40"
"Manchester,Liverpool,35"
"Manchester,Birmingham,90"
"York,Newcastle,85"
"York,Sheffield,50"
"Sheffield,Nottingham,45"
"Liverpool,Chester,20"
"Liverpool,Preston,55"
"Birmingham,Oxford,65"
"Birmingham,London,120"
"Nottingham,Derby,15"
"Nottingham,Leicester,25"
"Oxford,Reading,30"
"Oxford,London,55"
"London,Cambridge,60"
"London,Brighton,75"
"Cambridge,Norwich,70"
"Cambridge,Peterborough,35"
"Brighton,Portsmouth,65"
"Brighton,Southampton,70"
"Southampton,Winchester,15"
"Southampton,Bristol,80"
"Bristol,Cardiff,45"
"Bristol,Exeter,75"
"Cardiff,Swansea,65"
"Exeter,Plymouth,55"
"Exeter,Torquay,35"
"Plymouth,Truro,50"
"Newcastle,Sunderland,15"
"Newcastle,Durham,20"
"Durham,Middlesbrough,30"
"Middlesbrough,Hartlepool,20"
"Preston,Blackpool,25"
"Preston,Lancaster,25"
"Lancaster,Kendal,30"
"Kendal,Carlisle,45"
"Carlisle,Dumfries,35"
"Carlisle,Glasgow,95"
"Glasgow,Edinburgh,75"
"Edinburgh,Dundee,60"
"Edinburgh,Aberdeen,125"
"Aberdeen,Inverness,155"
"Inverness,FortWilliam,65"
"FortWilliam,Oban,45"
"Oban,Glasgow,95"
"Reading,Swindon,45"
"Swindon,Bristol,40"
"Derby,Stoke,50"
"Leicester,Coventry,40"
"Coventry,Birmingham,20"
